Timestamp;User_X;User_Y;User_Z;Obj_X;Obj_Y;Obj_Z;Rel_Dist
17,192;-2,3674;1,1176;-2,5276;0,0000;-1365,1940;1,2000;1366,3190
17,242;-2,3674;1,1176;-2,5276;0,0000;-1375,0360;1,2000;1376,1600
17,295;-2,3674;1,1176;-2,5276;0,0000;-1381,6160;1,2000;1382,7410
17,345;-2,3674;1,1176;-2,5276;0,0000;-1391,5160;1,2000;1392,6410
17,396;-2,3674;1,1176;-2,5276;0,0000;-1398,1360;1,2000;1399,2610
17,447;-2,3674;1,1176;-2,5276;0,0000;-1408,0950;1,2000;1409,2200
17,499;-2,3930;1,1176;-2,5189;0,0000;-1414,7540;1,2000;1415,8790
17,550;-2,4429;1,1176;-2,5022;0,0000;-1424,7720;1,2000;1425,8970
17,603;-2,4924;1,1176;-2,4855;0,0000;-1434,8250;1,2000;1435,9500
17,654;-2,5413;1,1176;-2,4691;0,0000;-1441,5470;1,2000;1442,6720
17,706;-2,5896;1,1176;-2,4528;0,0000;-1451,6590;1,2000;1452,7840
17,757;-2,6332;1,1176;-2,4214;0,0000;-1458,4200;1,2000;1459,5450
17,810;-2,6667;1,1176;-2,3539;0,0000;-1468,5910;1,2000;1469,7150
17,861;-2,6992;1,1176;-2,2886;0,0000;-1478,7970;1,2000;1479,9220
17,914;-2,7320;1,1176;-2,2225;0,0000;-1485,6210;1,2000;1486,7450
17,966;-2,7649;1,1176;-2,1563;0,0000;-1495,8860;1,2000;1497,0100
18,019;-2,7980;1,1176;-2,0894;0,0000;-1502,7490;1,2000;1503,8730
18,070;-2,8306;1,1176;-2,0239;0,0000;-1513,0730;1,2000;1514,1970
18,121;-2,8622;1,1176;-1,9602;0,0000;-1523,4330;1,2000;1524,5560
18,173;-2,8949;1,1176;-1,8943;0,0000;-1530,3580;1,2000;1531,4820
18,223;-2,9264;1,1176;-1,8308;0,0000;-1540,7760;1,2000;1541,9000
18,274;-2,9584;1,1176;-1,7663;0,0000;-1547,7420;1,2000;1548,8650
18,325;-2,9903;1,1176;-1,7022;0,0000;-1558,2190;1,2000;1559,3420
18,375;-3,0225;1,1176;-1,6372;0,0000;-1565,2230;1,2000;1566,3460
18,427;-3,0550;1,1176;-1,5719;0,0000;-1575,7590;1,2000;1576,8820
18,478;-3,0866;1,1176;-1,5082;0,0000;-1582,8020;1,2000;1583,9250
18,529;-3,1191;1,1176;-1,4426;0,0000;-1593,3970;1,2000;1594,5200
18,580;-3,1508;1,1176;-1,3788;0,0000;-1600,4800;1,2000;1601,6020
18,631;-3,1829;1,1176;-1,3142;0,0000;-1611,1330;1,2000;1612,2560
18,683;-3,2150;1,1176;-1,2495;0,0000;-1621,8220;1,2000;1622,9450
18,734;-3,2477;1,1176;-1,1837;0,0000;-1628,9680;1,2000;1630,0900
18,785;-3,2799;1,1176;-1,1188;0,0000;-1639,7160;1,2000;1640,8380
18,838;-3,3132;1,1176;-1,0517;0,0000;-1646,9000;1,2000;1648,0230
18,891;-3,3463;1,1176;-0,9849;0,0000;-1657,7070;1,2000;1658,8290
18,942;-3,3945;1,1176;-0,9687;0,0000;-1668,5490;1,2000;1669,6710
18,994;-3,4438;1,1176;-0,9510;0,0000;-1675,7970;1,2000;1676,9190
19,045;-3,4884;1,1176;-0,9264;0,0000;-1686,6970;1,2000;1687,8200
19,097;-3,5250;1,1176;-0,8903;0,0000;-1693,9840;1,2000;1695,1070
19,149;-3,5583;1,1176;-0,8493;0,0000;-1704,9440;1,2000;1706,0660
19,201;-3,5901;1,1176;-0,8098;0,0000;-1715,9390;1,2000;1717,0610
19,254;-3,6216;1,1176;-0,7662;0,0000;-1723,2880;1,2000;1724,4110
19,306;-3,6512;1,1176;-0,7236;0,0000;-1734,3420;1,2000;1735,4640
